user_id,age,gender,signup_date,country,city,email_opt_in,loyalty_status,last_login_date
user_1,58.0,Male,2022-09-19,Germany,Munich,True,Bronze,2025-08-26
user_2,25.0,Female,2023-06-17,France,Lyon,True,Gold,2025-07-08
user_3,19.0,Male,2023-06-26,UK,Birmingham,False,Silver,2024-10-03
user_4,65.0,Female,2023-01-21,France,Paris,False,Gold,2025-09-04
user_5,35.0,Male,2024-12-02,France,Marseille,False,Bronze,2024-12-11
user_6,33.0,Male,2023-02-15,USA,Houston,True,Bronze,2025-01-27
user_7,32.0,Male,2023-05-19,UK,London,True,Gold,2025-02-24
user_8,26.0,Female,2024-01-23,UK,London,True,Gold,2025-03-10
user_9,65.0,Female,2023-12-04,UK,Birmingham,True,Bronze,2025-04-14
user_10,24.0,Male,2024-03-01,France,Paris,False,Bronze,2025-05-09
user_11,61.0,Female,2024-11-01,Germany,Munich,True,Silver,2024-11-10
user_12,65.0,Male,2023-01-05,UK,Manchester,True,Silver,2024-12-15
user_13,52.0,Male,2024-08-16,France,Paris,False,Gold,2025-09-13
user_14,23.0,Female,2022-10-13,USA,Los Angeles,True,Bronze,2025-08-31
user_15,55.0,Female,2022-12-16,Germany,Frankfurt,False,Silver,2025-09-04
user_16,45.0,Female,2024-10-25,USA,Los Angeles,True,Bronze,2024-10-12
user_17,20.0,Female,2022-12-08,Germany,Berlin,False,Bronze,2025-07-12
user_18,19.0,Male,2023-12-18,France,Marseille,False,Bronze,2025-06-26
user_19,23.0,Female,2023-05-26,Canada,Vancouver,False,Gold,2024-11-01
user_20,31.0,Female,2024-06-12,Germany,Frankfurt,True,Silver,2025-01-03
user_21,32.0,Male,2024-10-18,USA,New York,False,Gold,2025-08-09
user_22,50.0,Male,2024-11-29,France,Lyon,True,Bronze,2025-04-09
user_23,56.0,Male,2023-09-17,Germany,Frankfurt,True,Bronze,2024-10-15
user_24,19.0,Male,2024-05-19,Canada,Halifax,True,Bronze,2025-01-24
user_25,53.0,Male,2025-06-12,Canada,Vancouver,True,Bronze,2025-02-10
user_26,30.0,Female,2022-07-05,UK,Birmingham,True,Gold,2025-03-23
user_27,63.0,Female,2024-01-30,UK,Birmingham,True,Bronze,2025-04-11
user_28,59.0,Female,2023-11-06,USA,New York,False,Bronze,2025-03-07
user_29,62.0,Female,2023-04-16,Germany,Berlin,False,Bronze,2025-09-20
user_30,52.0,Female,2024-03-08,Germany,Berlin,True,Bronze,2025-05-17
user_31,44.0,Male,2022-09-02,UK,London,True,Gold,2025-01-24
user_32,32.0,Female,2023-09-22,Germany,Berlin,True,Silver,2025-06-27
user_33,46.0,Male,2023-11-25,Germany,Berlin,True,Gold,2024-11-19
user_34,55.0,Male,2024-01-21,Canada,Vancouver,True,Silver,2025-05-23
user_35,35.0,Male,2024-04-29,UK,London,False,Bronze,2025-01-27
user_36,69.0,Female,2024-08-19,France,Marseille,False,Bronze,2025-01-20
user_37,18.0,Female,2024-04-08,UK,Manchester,True,Gold,2025-09-19
user_38,66.0,Female,2023-03-29,France,Marseille,True,Gold,2025-06-30
user_39,69.0,Female,2023-05-27,Canada,Toronto,False,Bronze,2025-07-02
user_40,28.0,Female,2024-05-03,USA,New York,True,Bronze,2024-10-06
user_41,62.0,Male,2023-01-08,Germany,Frankfurt,True,Bronze,2025-05-04
user_42,45.0,Male,2024-04-01,Canada,Halifax,True,Bronze,2024-10-30
user_43,39.0,Male,2025-03-25,Germany,Frankfurt,False,Bronze,2025-03-12
user_44,35.0,Male,2024-08-09,USA,Houston,False,Bronze,2024-09-28
user_45,27.0,Male,2025-01-14,USA,Houston,True,Silver,2025-04-15
user_46,31.0,Male,2022-10-28,Canada,Calgary,False,Bronze,2025-05-04
user_47,66.0,Male,2022-09-02,USA,Houston,False,Bronze,2024-10-19
user_48,39.0,Female,2023-01-04,France,Lyon,True,Gold,2025-09-25
user_49,24.0,Female,2025-04-08,USA,New York,False,Silver,2025-05-29
user_50,23.0,Male,2025-05-26,Germany,Frankfurt,False,Platinum,2025-07-21
user_51,42.0,Male,2025-06-16,Germany,Berlin,False,Bronze,2024-10-06
user_52,24.0,Male,2024-04-17,Germany,Frankfurt,False,Silver,2025-08-08
user_53,40.0,Male,2024-04-17,Germany,Berlin,False,Bronze,2024-11-23
user_54,40.0,Female,2023-09-14,France,Lyon,False,Silver,2024-11-03
user_55,56.0,Female,2024-09-01,UK,London,True,Bronze,2024-12-13
user_56,34.0,Female,2024-04-10,Canada,Halifax,True,Bronze,2025-09-02
user_57,69.0,Female,2024-10-08,Germany,Berlin,True,Platinum,2025-02-27
user_58,20.0,Male,2023-09-10,USA,Los Angeles,False,Silver,2024-12-07
user_59,64.0,Female,2022-11-04,Germany,Munich,True,Platinum,2025-07-25
user_60,47.0,Female,2025-03-05,USA,New York,False,Bronze,2025-08-01
user_61,52.0,Male,2023-10-21,USA,Houston,False,Bronze,2025-09-08
user_62,25.0,Female,2022-07-22,Germany,Frankfurt,True,Silver,2024-09-29
user_63,42.0,Male,2023-06-13,France,Lyon,False,Gold,2025-07-11
user_64,23.0,Male,2023-03-21,USA,Los Angeles,True,Silver,2025-01-09
user_65,53.0,Male,2024-10-25,USA,New York,False,Platinum,2025-05-28
user_66,36.0,Male,2023-06-14,Germany,Munich,True,Bronze,2025-03-26
user_67,58.0,Male,2023-05-27,USA,Los Angeles,True,Gold,2025-08-09
user_68,57.0,Male,2023-02-24,USA,Chicago,True,Bronze,2025-05-02
user_69,41.0,Female,2024-01-26,Germany,Frankfurt,True,Bronze,2024-12-18
user_70,54.0,Male,2022-10-29,Germany,Frankfurt,False,Silver,2024-09-27
user_71,30.0,Male,2024-03-30,Canada,Toronto,True,Silver,2024-12-06
user_72,63.0,Male,2025-03-04,France,Lyon,False,Bronze,2025-07-08
user_73,22.0,Male,2024-07-14,France,Paris,True,Bronze,2025-02-02
user_74,20.0,Female,2023-04-22,USA,Los Angeles,True,Silver,2025-02-09
user_75,60.0,Male,2023-07-25,France,Lyon,True,Silver,2024-12-16
user_76,32.0,Male,2023-05-18,USA,Los Angeles,False,Bronze,2025-07-27
user_77,67.0,Male,2024-01-27,Canada,Halifax,True,Bronze,2025-02-18
user_78,36.0,Female,2023-05-06,Germany,Berlin,True,Bronze,2024-10-16
user_79,23.0,Female,2024-05-03,Germany,Berlin,False,Platinum,2025-06-29
user_80,32.0,Male,2022-07-26,Germany,Munich,True,Platinum,2025-01-05
user_81,24.0,Male,2024-04-21,France,Paris,False,Silver,2025-02-10
user_82,42.0,Male,2022-11-07,Canada,Halifax,True,Platinum,2025-06-15
user_83,35.0,Male,2024-12-27,France,Paris,True,Silver,2025-06-30
user_84,47.0,Male,2022-11-30,France,Lyon,True,Bronze,2025-09-03
user_85,58.0,Female,2022-07-01,Canada,Calgary,False,Bronze,2024-12-07
user_86,41.0,Male,2025-04-18,Canada,Halifax,True,Platinum,2025-01-02
user_87,28.0,Female,2025-06-16,Canada,Halifax,True,Silver,2025-09-09
user_88,41.0,Male,2024-03-06,Canada,Vancouver,True,Gold,2024-12-15
user_89,40.0,Male,2023-08-13,Germany,Berlin,False,Gold,2024-11-17
user_90,31.0,Female,2025-06-07,UK,Manchester,False,Silver,2025-04-17
user_91,60.0,Male,2024-10-09,UK,London,False,Bronze,2025-07-10
user_92,35.0,Male,2022-10-08,Canada,Toronto,False,Bronze,2025-05-27
user_93,62.0,Male,2024-11-19,UK,Birmingham,False,Bronze,2025-06-06
user_94,61.0,Male,2025-03-03,UK,Manchester,False,Bronze,2025-01-30
user_95,59.0,Male,2025-06-23,Canada,Calgary,True,Silver,2025-02-28
user_96,22.0,Male,2024-04-21,UK,Birmingham,True,Bronze,2024-10-12
user_97,56.0,Female,2024-01-02,France,Lyon,True,Bronze,2025-09-24
user_98,58.0,Male,2025-03-04,USA,Los Angeles,True,Silver,2025-03-07
user_99,28.0,Male,2022-07-22,USA,Chicago,True,Bronze,2024-12-13
user_100,52.0,Male,2023-11-22,Canada,Vancouver,False,Silver,2025-06-01
user_101,64.0,Female,2024-09-27,Germany,Munich,False,Silver,2024-11-30
user_102,33.0,Female,2024-08-17,Canada,Calgary,False,Silver,2024-10-15
user_103,28.0,Female,2022-11-07,Germany,Berlin,True,Platinum,2025-06-04
user_104,47.0,Male,2022-09-08,USA,Los Angeles,False,Bronze,2025-07-14
user_105,42.0,Male,2023-07-09,Canada,Vancouver,True,Bronze,2025-01-28
user_106,35.0,Male,2022-10-26,France,Marseille,False,Gold,2024-11-28
user_107,58.0,Male,2025-01-25,UK,Birmingham,True,Silver,2025-08-03
user_108,62.0,Male,2025-03-29,Germany,Munich,False,Gold,2025-04-20
user_109,53.0,Male,2024-11-09,UK,London,True,Bronze,2025-06-09
user_110,32.0,Male,2023-09-22,UK,London,False,Gold,2024-12-20
